State,District,Rainfall,Temperature
Bihar,NAWADA,992.2060727689326,25.88924047095392
Bihar,PAKUR,1597.3351730419458,25.585160056372814
Bihar,PALAMU,1068.353483169876,25.03490670627028
Bihar,PASHCHIM CHAMPARAN,1370.3583139618581,25.160297193940362
Bihar,PATNA,957.5668486253631,26.108243969948653
Bihar,PURNIA,1470.4205689050252,24.931271187929866
Bihar,ROHTAS,1011.3117553314415,25.78303134447531
Bihar,SAHARSA,1088.9874088736608,25.82469742416839
Bihar,SAMASTIPUR,992.0248451590113,25.802274411901838
Bihar,SARAN,997.2986712571378,25.82504091881851
Bihar,SHEIKHPURA,1075.1639908339523,26.161193295990806
Bihar,SHEOHAR,1063.2746839339127,25.41708078467675
Bihar,SITAMARHI,1120.480772290143,25.417362816630376
Bihar,SIWAN,992.5381671155407,25.46740225048061
Bihar,SUPAUL,1315.0965920669262,25.557673642923767
Bihar,VAISHALI,1002.4723217659372,25.924136780475866
Chandigarh,CHANDIGARH,802.5584745762712,23.531285310734464
Chhattisgarh,BALOD,1371.4906259495046,26.817106809649143
Chhattisgarh,BALODA BAZAR,1273.6546737209856,27.630825881897007
Chhattisgarh,BALRAMPUR,1308.0320192595368,24.655185082269497
Chhattisgarh,BASTAR,1559.9007185542098,24.994375677339495
Chhattisgarh,BIJAPUR,1569.3876352567688,27.024122071232437
Chhattisgarh,BILASPUR,1167.729328590431,26.563448654529402
Chhattisgarh,DHAMTARI,1314.1248680310216,26.462470953731806
Chhattisgarh,DURG,1175.3566829240601,27.101459412986237
Chhattisgarh,JANJGIR-CHAMPA,1305.2122653989188,27.629980958070387
Chhattisgarh,JASHPUR,1399.2170841449301,24.315517776852573
Chhattisgarh,KONDAGAON,1564.3583318589876,25.113738877831935
Chhattisgarh,KORBA,1308.6389226747954,26.18250764141072
Chhattisgarh,MAHASAMUND,1339.6047830936504,27.120360279257437
Chhattisgarh,MUNGELI,1141.5360485238791,26.55069344519002
Chhattisgarh,NARAYANPUR,1565.296382145232,25.319353892783585
Chhattisgarh,RAIGARH,1365.9780882979453,26.297421941464112
Chhattisgarh,RAIPUR,1169.0192997913941,27.199436375415658
Chhattisgarh,RAJNANDGAON,1369.6039284135272,26.5997739641837
Chhattisgarh,SUKMA,1518.5504126805033,26.488793743144935
Chhattisgarh,SURAJPUR,1313.6361500530197,24.9895992654081
Chhattisgarh,SURGUJA,1349.0156026272641,24.398792628987348
Goa,NORTH GOA,2569.9440441522856,26.07031704103775
Goa,SOUTH GOA,2451.020707458741,25.478561894912986
Gujarat,AHMADABAD,807.2426767484112,27.936333357064324
Gujarat,AMRELI,729.5977133071776,26.78945906878886
Gujarat,ANAND,897.0241541349726,28.16287957154389
Gujarat,BANAS KANTHA,667.2813248082812,26.945906442896273
Gujarat,BHARUCH,1059.556250000919,28.022945558116525
Gujarat,BHAVNAGAR,759.1751727707017,27.54218825931037
Gujarat,CHHOTAUDEPUR,929.4294726808383,27.690602370948053
Gujarat,DEVBHUMI DWARKA,443.3099957399983,26.885851337563917
Gujarat,DOHAD,946.0285344888608,26.905184759473045
